T2M,RH2M,PS,datetime,hour,month,T2M_diff,RH2M_diff,PS_diff,T2M_roll_mean,RH2M_roll_mean,PS_roll_mean,T2M_roll_std,RH2M_roll_std,PS_roll_std,T2M_roll_dev,RH2M_roll_dev,PS_roll_dev
28.66,75.0,978.9,2025-10-01 17:00:00,17,10,-1.8599999999999994,12.979999999999997,0.2999999999999545,26.567916666666665,82.18083333333334,980.0625,3.1550180584711467,17.06596025060929,0.8555763377006024,2.092083333333335,-7.180833333333339,-1.1625000000000227
26.9,82.78,979.5,2025-10-01 18:00:00,18,10,-1.7600000000000016,7.780000000000001,0.6000000000000227,26.63791666666667,81.65208333333334,980.0541666666667,3.1424235719903737,16.83129615489063,0.8602219970019241,0.26208333333332945,1.127916666666664,-0.5541666666666742
25.98,85.21,980.2,2025-10-01 19:00:00,19,10,-0.9199999999999982,2.4299999999999926,0.7000000000000455,26.685416666666665,81.19208333333334,980.0458333333335,3.122618715906754,16.563723320969693,0.8576911204151937,-0.7054166666666646,4.01791666666665,0.1541666666665833
25.31,86.1,980.9,2025-10-01 20:00:00,20,10,-0.6700000000000017,0.8900000000000006,0.6999999999999318,26.718333333333334,80.7475,980.0416666666666,3.10290140053674,16.26797581005495,0.8530847690918444,-1.408333333333335,5.352499999999992,0.8583333333333485
24.77,86.96,981.2,2025-10-01 21:00:00,21,10,-0.5399999999999991,0.8599999999999994,0.3000000000000682,26.741249999999997,80.31333333333333,980.0416666666666,3.0856305288989376,15.94053205883828,0.8530847690918444,-1.9712499999999977,6.646666666666661,1.1583333333334167
24.3,88.08,981.3,2025-10-01 22:00:00,22,10,-0.46999999999999886,1.1200000000000045,0.09999999999990905,26.759583333333328,79.88541666666667,980.0499999999998,3.0690296996127313,15.56880660003473,0.864769383722937,-2.4595833333333275,8.194583333333327,1.2500000000001137
23.93,89.33,981.3,2025-10-01 23:00:00,23,10,-0.370000000000001,1.25,0.0,26.769583333333333,79.51291666666667,980.0750000000002,3.0589675427404894,15.212687919361683,0.8926024481832113,-2.8395833333333336,9.81708333333333,1.2249999999997954
23.6,90.64,981.2,2025-10-02 00:00:00,0,10,-0.3299999999999983,1.3100000000000023,-0.09999999999990905,26.75791666666667,79.29166666666667,980.1208333333334,3.0709777216173726,15.000368884353314,0.9217087943146159,-3.1579166666666687,11.34833333333333,1.0791666666666515
23.34,91.68,981.1,2025-10-02 01:00:00,1,10,-0.26000000000000156,1.0400000000000063,-0.10000000000002274,26.73625,79.165,980.1791666666667,3.094059964709955,14.87674987880518,0.9380734961213175,-3.3962499999999984,12.515,0.9208333333333485
23.15,92.24,981.0,2025-10-02 02:00:00,2,10,-0.19000000000000128,0.5599999999999881,-0.10000000000002274,26.71875,79.01625,980.2291666666666,3.113871227546624,14.720106572304694,0.9489028752900289,-3.5687500000000014,13.223749999999995,0.7708333333333712
23.14,91.53,981.0,2025-10-02 03:00:00,3,10,-0.00999999999999801,-0.7099999999999937,0.0,26.70125,78.83708333333333,980.2708333333334,3.1335135335946753,14.531520007621072,0.9602894340604963,-3.561250000000001,12.692916666666676,0.7291666666666288
23.29,89.65,981.2,2025-10-02 04:00:00,4,10,0.14999999999999858,-1.8799999999999955,0.20000000000004547,26.681250000000002,78.6375,980.3166666666667,3.154497565589163,14.339530114792835,0.9778710979083522,-3.391250000000003,11.012500000000003,0.8833333333333258
23.4,88.35,981.7,2025-10-02 05:00:00,5,10,0.10999999999999943,-1.3000000000000114,0.5,26.669999999999998,78.38125000000001,980.3750000000001,3.1661634993081837,14.096633366964445,1.0177767757635114,-3.2699999999999996,9.968749999999986,1.3249999999999318
24.03,88.79,982.4,2025-10-02 06:00:00,6,10,0.6300000000000026,0.44000000000001194,0.6999999999999318,26.67833333333333,78.085,980.4541666666665,3.1586178411878634,13.783695156739325,1.0986074848929406,-2.64833333333333,10.705000000000013,1.9458333333334394
25.31,83.2,983.3,2025-10-02 07:00:00,7,10,1.2799999999999976,-5.590000000000003,0.8999999999999773,26.690833333333334,77.82083333333334,980.5583333333333,3.1523158039035106,13.614326187374733,1.2419888211852435,-1.3808333333333351,5.379166666666663,2.7416666666666742
27.83,70.78,984.1,2025-10-02 08:00:00,8,10,2.5199999999999996,-12.420000000000002,0.8000000000000682,26.735833333333336,77.50791666666667,980.6875,3.1608940901711557,13.689174389678122,1.4359703582001562,1.0941666666666627,-6.7279166666666725,3.4125000000000227
29.44,64.51,984.6,2025-10-02 09:00:00,9,10,1.610000000000003,-6.269999999999996,0.5,26.772916666666664,77.37625,980.8375,3.188205818416255,13.80263926006483,1.643118059235275,2.6670833333333377,-12.866249999999994,3.7625000000000455
30.07,64.22,984.8,2025-10-02 10:00:00,10,10,0.629999999999999,-0.29000000000000625,0.1999999999999318,26.77625,77.53875000000001,981.0083333333333,3.19175542881889,13.614782666837632,1.8306370159374201,3.2937499999999993,-13.318750000000009,3.7916666666666288
30.46,64.31,984.4,2025-10-02 11:00:00,11,10,0.39000000000000057,0.09000000000000341,-0.39999999999997726,26.759583333333328,77.81083333333333,981.1791666666667,3.1704772362848885,13.26346400968606,1.9491311702658225,3.7004166666666727,-13.500833333333333,3.220833333333303
30.63,64.36,983.9,2025-10-02 12:00:00,12,10,0.16999999999999815,0.04999999999999716,-0.5,26.731666666666666,78.1125,981.3583333333332,3.1314695351031183,12.848241716958684,1.994757622137238,3.8983333333333334,-13.752499999999998,2.5416666666667425
30.55,64.79,983.3,2025-10-02 13:00:00,13,10,-0.0799999999999983,0.4300000000000068,-0.6000000000000227,26.695833333333336,78.42708333333333,981.5375,3.080107164520601,12.3995632739248,1.966637496728174,3.8541666666666643,-13.637083333333322,1.7624999999999318
30.22,66.05,983.1,2025-10-02 14:00:00,14,10,-0.33000000000000185,1.259999999999991,-0.1999999999999318,26.65416666666667,78.76666666666667,981.7291666666666,3.0224693570814547,11.915087865416147,1.8799813058120403,3.5658333333333303,-12.716666666666669,1.370833333333394
29.68,68.98,983.1,2025-10-02 15:00:00,15,10,-0.5399999999999991,2.930000000000007,0.0,26.604583333333334,79.14833333333333,981.9208333333332,2.9594050212354857,11.418141425958805,1.7675773562143149,3.0754166666666656,-10.168333333333322,1.179166666666788
28.73,74.18,983.3,2025-10-02 16:00:00,16,10,-0.9499999999999993,5.200000000000003,0.1999999999999318,26.53,79.655,982.1166666666668,2.8778705895919794,10.882263990789166,1.6393706816762195,2.1999999999999993,-5.474999999999994,1.1833333333331666
26.94,84.5,983.7,2025-10-02 17:00:00,17,10,-1.7899999999999991,10.319999999999993,0.40000000000009095,26.458333333333332,80.05083333333333,982.3166666666666,2.8437355510071116,10.878357019756491,1.5181987802281314,0.48166666666666913,4.44916666666667,1.3833333333334394
25.61,89.04,984.1,2025-10-02 18:00:00,18,10,-1.3300000000000018,4.540000000000006,0.39999999999997726,26.40458333333333,80.31166666666667,982.5083333333333,2.847213709190247,11.020756963928635,1.4352447652874532,-0.7945833333333319,8.728333333333339,1.591666666666697
25.12,90.12,984.6,2025-10-02 19:00:00,19,10,-0.48999999999999844,1.0799999999999983,0.5,26.368750000000002,80.51625,982.6916666666666,2.8581801940645617,11.160329904934146,1.4083344053006521,-1.2487500000000011,9.603750000000005,1.9083333333334167
24.63,91.1,985.2,2025-10-02 20:00:00,20,10,-0.490000000000002,0.9799999999999898,0.6000000000000227,26.340416666666666,80.72458333333334,982.8708333333333,2.872466716297285,11.314696091585441,1.443570201821613,-1.7104166666666671,10.375416666666652,2.329166666666765
24.2,92.02,985.5,2025-10-02 21:00:00,21,10,-0.4299999999999997,0.9200000000000017,0.2999999999999545,26.316666666666666,80.93541666666667,983.0500000000001,2.888328336549358,11.48184426148253,1.4931728692423172,-2.116666666666667,11.084583333333327,2.449999999999932
23.88,92.75,985.4,2025-10-02 22:00:00,22,10,-0.3200000000000003,0.730000000000004,-0.10000000000002274,26.299166666666668,81.13000000000001,983.2208333333334,2.9023167907082508,11.646577776886033,1.5185746081864828,-2.419166666666669,11.61999999999999,2.1791666666665606
23.58,93.59,985.4,2025-10-02 23:00:00,23,10,-0.3000000000000007,0.8400000000000034,0.0,26.28458333333333,81.30749999999999,983.3916666666665,2.9155877611139545,11.808322875431859,1.5237016331010116,-2.704583333333332,12.282500000000013,2.0083333333334394
23.4,94.12,985.4,2025-10-03 00:00:00,0,10,-0.17999999999999972,0.5300000000000011,0.0,26.27625,81.4525,983.5666666666666,2.9238685102482393,11.948438591825356,1.50207585830577,-2.8762500000000024,12.667500000000004,1.8333333333333712
23.31,94.58,985.3,2025-10-03 01:00:00,1,10,-0.08999999999999986,0.45999999999999375,-0.10000000000002274,26.275000000000002,81.57333333333334,983.7416666666667,2.925184498083831,12.07040637861628,1.4458085346568663,-2.9650000000000034,13.00666666666666,1.5583333333332803
23.17,95.59,985.3,2025-10-03 02:00:00,2,10,-0.13999999999999702,1.0100000000000051,0.0,26.275833333333335,81.71291666666667,983.9208333333332,2.9242582361836518,12.217592262324814,1.3548557332852975,-3.105833333333333,13.877083333333331,1.3791666666667197
23.07,96.66,985.3,2025-10-03 03:00:00,3,10,-0.10000000000000142,1.0699999999999932,0.0,26.272916666666664,81.92666666666666,984.0999999999999,2.927554966130271,12.439669248597669,1.2304117373961678,-3.2029166666666633,14.733333333333334,1.2000000000000455
